           x      y      z   
    18.497   -168.545      8.000
    48.963   -118.763      8.000
    22.999   -166.881      8.000
    51.951   -120.108      7.000
    18.951   -164.272      7.000
    50.676   -134.057      8.000
    21.068   -176.725      8.000
    42.522   -100.581      8.000
    19.242   -165.738      8.000
    48.755   -135.124      8.000
    21.744   -174.784      8.000
    35.965    118.369      6.000
    35.791    -20.955      6.000
    48.360    135.613      7.000
    37.898    -87.256      7.000
    39.473    133.422      7.000
    43.213    -60.944      7.000
    44.177    117.219      7.000
    37.010    -42.106      7.000
    41.357    146.836      7.000
    37.507    -49.683      7.000
    45.500    130.837      7.000
    38.169    -72.410      7.000
    45.630     62.719      8.000
    38.321   -126.475      8.000
    47.241    143.367      6.000
    38.240    -49.795      6.000
    48.409    145.718      6.000
    38.155    -48.109      6.000
    48.360    135.613      7.000
    37.898    -87.256      7.000
    47.646    128.230      7.000
    36.072    -26.354      7.000
    45.256     86.871      4.000
    47.717     77.438      4.000
    43.863    134.119      7.000
    37.516    -57.647      7.000
    44.201    124.333      7.000
    38.771    -50.688      7.000
    40.134    110.467      8.000
    35.405   -174.204      8.000
    41.357    146.836      7.000
    37.507    -49.683      7.000
    45.500    130.837      7.000
    38.169    -72.410      7.000
    45.630     62.719      8.000
    38.321   -126.475      8.000
    47.241    143.367      6.000
    38.240    -49.795      6.000
    48.409    145.718      6.000
    38.155    -48.109      6.000
    43.725    126.169      6.000
    42.133    -29.828      6.000
    47.646    128.230      7.000
    36.072    -26.354      7.000
    43.863    134.119      7.000
    37.516    -57.647      7.000
    44.201    124.333      7.000
    38.771    -50.688      7.000
    40.134    110.467      8.000
    35.405   -174.204      8.000
    47.013    146.722      6.000
    37.899    -44.416      6.000
    45.808    126.935      6.000
    38.020    -35.504      6.000
    47.591    131.819      7.000
    37.735    -36.071      7.000
    48.010    117.143      8.000
    40.148    -90.017      8.000
    33.649    108.822      7.000
    35.265    -48.145      7.000
    38.721     80.156      7.000
    47.533   -177.506      7.000
    35.486    -67.914      6.000
    36.679    -23.956      6.000
    34.901   -130.366      6.000
    40.719    -31.051      6.000
    34.971    -57.092      6.000
    35.222     -0.135      6.000
    35.146    -58.318      6.000
    33.951      1.133      6.000
    36.264    -54.853      6.000
    36.171     -6.930      6.000
    34.846    -58.404      6.000
    35.229      0.933      6.000
    34.245   -114.290      6.000
    44.801    -41.665      6.000
    35.130    -59.078      6.000
    34.850     -0.227      6.000
    32.765    -70.714      7.000
    34.925     -4.237      7.000
    34.901   -130.366      6.000
    40.719    -31.051      6.000
    34.950    -57.930      6.000
    35.321      2.277      6.000
    34.855    -56.936      6.000
    36.214     -0.481      6.000
    33.597    -66.940      6.000
    36.566     -1.201      6.000
    35.331    -61.056      6.000
    35.032    -15.269      6.000
    33.843    -65.968      6.000
    40.122    -28.278      6.000
    36.264    -54.853      6.000
    36.171     -6.930      6.000
    34.846    -58.404      6.000
    35.229      0.933      6.000
    34.245   -114.290      6.000
    44.801    -41.665      6.000
    35.130    -59.078      6.000
    34.850     -0.227      6.000
    32.765    -70.714      7.000
    34.925     -4.237      7.000
    35.865    -55.211      6.000
    38.440     -8.580      6.000
    34.950    -57.930      6.000
    35.321      2.277      6.000
    33.597    -66.940      6.000
    36.566     -1.201      6.000
    35.331    -61.056      6.000
    35.032    -15.269      6.000
    33.843    -65.968      6.000
    40.122    -28.278      6.000
    33.988    -81.003      6.000
    38.987    -28.237      6.000
    35.241   -111.192      6.000
    42.493    -44.667      6.000
    34.964    -59.912      6.000
    35.656     -2.779      6.000
    33.724   -121.770      6.000
    39.567    -25.594      6.000
    32.565    -70.143      6.000
    36.316     -8.969      6.000
    35.431    -68.398      6.000
    39.337    -31.675      6.000
    27.744    -69.507      6.000
    30.306    123.492      6.000
    25.546   -142.288      6.000
    31.558    115.713      6.000
    32.860   -163.604      7.000
    20.542     99.417      7.000
    33.215   -171.296      7.000
    32.899    127.831      7.000
    25.760   -156.885      6.000
    30.654    110.419      6.000
    46.767   -148.024      6.000
    27.562    106.786      6.000
    42.218   -145.009      6.000
    32.991    138.766      6.000
    28.701   -138.581      6.000
    31.062    112.364      6.000
    44.944   -161.379      7.000
    19.430     89.590      7.000
    42.288   -143.978      6.000
    34.783    128.159      6.000
    41.351   -140.236      6.000
    34.194    112.649      6.000
    42.381   -141.207      6.000
    31.469    109.394      6.000
    42.981   -130.527      7.000
    35.597    133.082      7.000
    38.099    168.165      7.000
    32.751    133.971      7.000
    43.035   -122.452      6.000
    30.269    121.286      6.000
    43.428    -18.326      6.000
    34.026    107.588      6.000
    33.970     19.392      5.000
    29.119     99.930      5.000
    42.833    -22.150      5.000
    37.344     96.331      5.000
    45.498     -2.319      6.000
    27.904    150.539      6.000
    45.612     -5.535      5.000
    28.107    138.528      5.000
    43.942     13.548      5.000
    25.641    120.758      5.000
    39.150     21.869      5.000
    26.601     89.853      5.000
    43.243     11.690      5.000
    26.336    127.941      5.000
    42.651    -17.805      6.000
    27.700    139.786      6.000
    48.523    -31.527      5.000
    33.056    152.269      5.000
    40.939     34.835      5.000
    29.580    131.951      5.000
    33.568    -16.740      6.000
    26.192    124.066      6.000
    34.103     -4.352      6.000
    27.263    136.601      6.000
    41.162     47.059      5.000
    25.825    115.669      5.000
    35.604    -54.834      8.000
    40.949   -100.414      8.000
    43.065    -56.698      6.000
    37.941    -59.664      6.000
    39.427    -55.861      7.000
    46.435    -92.952      7.000
    42.807    -71.052      7.000
    34.853    -65.217      7.000
    36.973    -61.256      7.000
    36.954    -62.804      7.000
    41.994    -69.884      7.000
    37.703    -71.218      7.000
    38.726    -62.524      8.000
    22.990   -123.389      8.000
    43.003    -69.787      7.000
    35.750    -62.216      7.000
    36.716    -58.360      7.000
    17.616   -102.154      7.000
    35.713    107.169      8.000
    26.104   -149.697      8.000
    33.152    134.695      8.000
    36.928   -123.313      8.000
    37.021    -65.925      7.000
    34.976    -37.429      7.000
    38.260    -61.507      7.000
    17.285    -95.680      7.000
    39.308    -63.958      7.000
    36.074    -67.710      7.000
    21.444   -161.609      8.000
    15.720    -79.448      8.000
    21.218   -168.901      8.000
    15.709    -80.869      8.000
    21.643   -160.989      8.000
    15.771    -80.849      8.000
    21.182   -164.057      8.000
    15.654    -82.480      8.000
