         x          y          z
   -165.00    -130.00      26.00
   -165.00    -125.00      25.00
   -165.00    -120.00      17.00
   -165.00    -115.00      18.00
   -165.00    -110.00      12.00
   -165.00    -105.00      15.00
   -165.00    -100.00      21.00
   -165.00     -95.00      22.00
   -165.00     -90.00      14.00
   -165.00     -85.00      31.00
   -165.00     -80.00      16.00
   -165.00     -75.00      24.00
   -165.00     -70.00      24.00
   -165.00     -65.00      18.00
   -165.00     -60.00      13.00
   -165.00     -55.00       7.00
   -165.00     -50.00       7.00
   -165.00     -45.00       4.00
   -165.00     -40.00       5.00
   -165.00     -35.00       1.00
   -165.00     -30.00       3.00
   -165.00     -25.00       9.00
   -165.00     -20.00      10.00
   -165.00     -15.00       9.00
   -165.00      -5.00       1.00
   -165.00       5.00       2.00
   -165.00      10.00       1.00
   -165.00      15.00       1.00
   -165.00      20.00       2.00
   -165.00      25.00       6.00
   -165.00      30.00       6.00
   -165.00      35.00       9.00
   -165.00      40.00      11.00
   -165.00      45.00      20.00
   -165.00      50.00      25.00
   -165.00      55.00      18.00
   -165.00      60.00      13.00
   -165.00      65.00      14.00
   -165.00      70.00      14.00
   -165.00      75.00      17.00
   -165.00      80.00      14.00
   -165.00      85.00      17.00
   -165.00      90.00      15.00
   -165.00      95.00      12.00
   -165.00     100.00      20.00
   -165.00     105.00      11.00
   -165.00     110.00      12.00
   -165.00     115.00       8.00
   -165.00     120.00      13.00
   -165.00     125.00      19.00
   -165.00     130.00      16.00
   -165.00     135.00      11.00
   -165.00     140.00      22.00
   -165.00     145.00      16.00
   -165.00     150.00      23.00
   -165.00     155.00      14.00
   -165.00     160.00      15.00
   -165.00     165.00      13.00
   -165.00     170.00       9.00
   -165.00     175.00       7.00
   -160.00    -180.00      19.00
   -160.00    -175.00      11.00
   -160.00    -170.00       6.00
   -160.00    -165.00       5.00
   -160.00    -160.00      12.00
   -160.00    -155.00      12.00
   -160.00    -150.00       8.00
   -160.00    -145.00      12.00
   -160.00    -140.00      19.00
   -160.00    -135.00      18.00
   -160.00    -130.00      16.00
   -160.00    -125.00      14.00
   -160.00    -120.00      17.00
   -160.00    -115.00      14.00
   -160.00    -110.00      16.00
   -160.00    -105.00      13.00
   -160.00    -100.00      15.00
   -160.00     -95.00      11.00
   -160.00     -90.00      15.00
   -160.00     -85.00      11.00
   -160.00     -80.00      19.00
   -160.00     -75.00      19.00
   -160.00     -70.00      13.00
   -160.00     -65.00       9.00
   -160.00     -60.00       5.00
   -160.00     -55.00       7.00
   -160.00     -50.00       4.00
   -160.00     -45.00       4.00
   -160.00     -40.00      10.00
   -160.00     -35.00       8.00
   -160.00     -30.00       4.00
   -160.00     -25.00       4.00
   -160.00     -20.00       5.00
   -160.00     -15.00       2.00
   -160.00     -10.00       2.00
   -160.00      -5.00       3.00
   -160.00       5.00       1.00
   -160.00      10.00       1.00
   -160.00      15.00       2.00
   -160.00      25.00       5.00
   -160.00      30.00       4.00
   -160.00      35.00       8.00
   -160.00      40.00      11.00
   -160.00      45.00      11.00
   -160.00      50.00      20.00
