         x          y          z
   -102.50    -104.50       0.05
   -102.50     143.00       0.05
   -102.00    -173.50       0.05
   -102.00     -66.00       0.05
   -102.00     -50.50       0.05
   -102.00     -40.00       0.05
   -102.00      92.00       0.05
   -102.00     124.00       0.05
   -101.00    -176.50       0.05
   -101.00    -162.50       0.05
   -100.50     -81.50       0.05
   -100.50     -80.50       0.05
    -99.50     -98.00       0.05
    -99.50     -87.50       0.05
    -99.50     -78.00       0.05
    -99.50     -76.50       0.05
    -99.50     -73.00       0.05
    -99.50     -70.50       0.05
    -99.50     -69.00       0.05
    -99.50     -55.00       0.05
    -99.50     164.00       0.05
    -99.50     168.00       0.05
    -98.50     -84.00       0.05
    -98.50     -79.50       0.05
    -98.00     -91.50       0.05
    -98.00     -73.00       0.05
    -98.00     -65.50       0.05
    -98.00      55.00       0.05
    -97.50     -87.00       0.05
    -97.50     -85.50       0.05
    -97.50     -84.50       0.05
    -97.50     -84.00       0.10
    -97.50     -83.50       0.05
    -96.50     -86.50       0.05
    -96.50     -83.00       0.05
    -96.00     -88.50       0.05
    -96.00     -84.50       0.05
    -95.50     -88.00       0.05
    -95.50     -83.00       0.05
    -95.50     -80.00       0.05
    -95.50     -70.00       0.05
    -95.00    -174.50       0.05
    -95.00    -157.00       0.05
    -95.00     -86.50       0.05
    -95.00     -86.00       0.05
    -95.00     -78.50       0.05
    -95.00     -62.00       0.05
    -95.00      66.00       0.05
    -95.00      79.50       0.05
    -94.50     -91.00       0.05
    -94.50     -84.50       0.05
    -94.50     -79.50       0.05
    -94.50     -78.00       0.10
    -94.50     -71.00       0.10
    -94.50     137.00       0.05
    -94.50     141.00       0.05
    -94.50     156.50       0.05
    -94.00    -155.50       0.05
    -94.00     -97.00       0.05
    -94.00     -89.50       0.05
    -94.00     -88.50       0.05
    -94.00     -87.00       0.05
    -94.00     -83.50       0.05
    -94.00     -73.00       0.05
    -94.00     -72.50       0.05
    -94.00       2.00       0.05
    -94.00      66.00       0.05
    -93.50     -96.00       0.05
    -93.50     -88.50       0.05
    -93.50     -86.50       0.05
    -93.50     -81.50       0.05
    -93.50     -80.00       0.05
    -93.50     -79.00       0.05
    -93.50     -72.50       0.05
    -93.50     -71.50       0.05
    -93.50     -56.50       0.05
    -93.50     -48.00       0.05
    -93.50      97.50       0.05
    -93.50     137.00       0.05
    -93.50     144.50       0.05
    -93.50     146.50       0.05
    -93.00     -96.00       0.05
    -93.00     -91.00       0.05
    -93.00     -89.50       0.05
    -93.00     -89.00       0.05
    -93.00     -88.00       0.10
    -93.00     -87.50       0.05
    -93.00     -85.50       0.05
    -93.00     -84.00       0.05
    -93.00     -81.00       0.05
    -92.50    -102.00       0.05
    -92.50     -93.00       0.05
    -92.50     -91.00       0.05
    -92.50     -88.50       0.05
    -92.50     -86.50       0.05
    -92.50     -85.50       0.05
    -92.50     -73.50       0.10
    -92.50     -69.50       0.05
    -92.50     147.00       0.05
    -92.00    -123.50       0.05
    -92.00     -88.00       0.05
    -92.00     -87.00       0.05
    -92.00     -85.00       0.10
    -92.00     -84.50       0.05
    -92.00     -84.00       0.05
    -92.00     -82.00       0.05
    -92.00     -64.50       0.05
    -92.00     -55.00       0.05
    -92.00     140.50       0.05
    -92.00     144.50       0.05
    -91.50    -125.00       0.05
    -91.50     -98.00       0.05
    -91.50     -81.00       0.05
    -91.50     -80.50       0.05
    -91.50     -77.00       0.05
    -91.50     -72.00       0.05
    -91.50     -69.50       0.05
    -91.50     -59.50       0.05
    -91.50     -52.50       0.05
    -91.50     139.50       0.05
    -91.00     -88.00       0.05
    -91.00     -86.50       0.05
    -91.00     -85.00       0.05
    -91.00     -75.00       0.05
    -91.00     -65.00       0.05
    -91.00     140.50       0.05
    -90.50    -102.50       0.05
    -90.50     -93.50       0.05
    -90.50     -89.50       0.05
    -90.50     -86.00       0.05
    -90.50     -85.50       0.05
    -90.50     -84.50       0.05
    -90.50     -81.00       0.05
    -90.50     -78.50       0.05
    -90.50     -77.50       0.05
    -90.50     -73.50       0.05
    -90.50     -70.50       0.05
    -90.50     -62.50       0.05
    -90.50     -62.00       0.05
    -90.50     -61.50       0.05
    -90.50     143.00       0.05
    -90.50     148.00       0.05
    -90.00     -88.50       0.05
    -90.00     -79.00       0.05
    -90.00     -74.00       0.05
    -90.00     -68.50       0.05
    -90.00     -58.50       0.05
    -90.00     151.00       0.05
    -89.50    -152.00       0.05
    -89.50     -91.00       0.05
    -89.50     -88.50       0.05
    -89.50     -86.00       0.05
    -89.50     -82.00       0.05
    -89.50     -81.00       0.05
    -89.50     -77.00       0.05
    -89.50     -65.00       0.05
    -89.50     -54.00       0.05
    -89.50     -48.50       0.05
    -89.50     139.00       0.05
    -89.50     150.00       0.05
    -89.00     -90.50       0.05
    -89.00     -87.00       0.05
    -89.00     -77.50       0.05
    -89.00     -72.00       0.05
    -89.00     -65.50       0.05
    -89.00     138.00       0.05
    -88.50    -120.00       0.05
